original_varname,new_varname,object_name,quantity_name,annotated_object_name
sea_surface_water_tide_constituent~m8__degrees-per-hour_speed,sea_surface_water_tide_constituent-m8__angular_speed,sea_surface_water_tide_constituent-m8,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m8))
sea_surface_water_tide_constituent~m8__period,sea_surface_water_tide_constituent-m8__period,sea_surface_water_tide_constituent-m8,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m8))
sea_surface_water_tide_constituent~m8__phase_angle,sea_surface_water_tide_constituent-m8__phase_angle,sea_surface_water_tide_constituent-m8,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-m8))
sea_surface_water_tide_constituent~mf__amplitude,sea_surface_water_tide_constituent-mf__amplitude,sea_surface_water_tide_constituent-mf,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mf))
sea_surface_water_tide_constituent~mf__degrees-per-hour_speed,sea_surface_water_tide_constituent-mf__angular_speed,sea_surface_water_tide_constituent-mf,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mf))
sea_surface_water_tide_constituent~mf__period,sea_surface_water_tide_constituent-mf__period,sea_surface_water_tide_constituent-mf,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mf))
sea_surface_water_tide_constituent~mf__phase_angle,sea_surface_water_tide_constituent-mf__phase_angle,sea_surface_water_tide_constituent-mf,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mf))
sea_surface_water_tide_constituent~mk3__amplitude,sea_surface_water_tide_constituent-mk3__amplitude,sea_surface_water_tide_constituent-mk3,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mk3))
sea_surface_water_tide_constituent~mk3__degrees-per-hour_speed,sea_surface_water_tide_constituent-mk3__angular_speed,sea_surface_water_tide_constituent-mk3,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mk3))
sea_surface_water_tide_constituent~mk3__period,sea_surface_water_tide_constituent-mk3__period,sea_surface_water_tide_constituent-mk3,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mk3))
sea_surface_water_tide_constituent~mk3__phase_angle,sea_surface_water_tide_constituent-mk3__phase_angle,sea_surface_water_tide_constituent-mk3,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mk3))
sea_surface_water_tide_constituent~mm__amplitude,sea_surface_water_tide_constituent-mm__amplitude,sea_surface_water_tide_constituent-mm,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mm))
sea_surface_water_tide_constituent~mm__degrees-per-hour_speed,sea_surface_water_tide_constituent-mm__angular_speed,sea_surface_water_tide_constituent-mm,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mm))
sea_surface_water_tide_constituent~mm__period,sea_surface_water_tide_constituent-mm__period,sea_surface_water_tide_constituent-mm,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mm))
sea_surface_water_tide_constituent~mm__phase_angle,sea_surface_water_tide_constituent-mm__phase_angle,sea_surface_water_tide_constituent-mm,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mm))
sea_surface_water_tide_constituent~mn4__amplitude,sea_surface_water_tide_constituent-mn4__amplitude,sea_surface_water_tide_constituent-mn4,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mn4))
sea_surface_water_tide_constituent~mn4__degrees-per-hour_speed,sea_surface_water_tide_constituent-mn4__angular_speed,sea_surface_water_tide_constituent-mn4,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mn4))
sea_surface_water_tide_constituent~mn4__period,sea_surface_water_tide_constituent-mn4__period,sea_surface_water_tide_constituent-mn4,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mn4))
sea_surface_water_tide_constituent~mn4__phase_angle,sea_surface_water_tide_constituent-mn4__phase_angle,sea_surface_water_tide_constituent-mn4,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mn4))
sea_surface_water_tide_constituent~ms4__amplitude,sea_surface_water_tide_constituent-ms4__amplitude,sea_surface_water_tide_constituent-ms4,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-ms4))
sea_surface_water_tide_constituent~ms4__degrees-per-hour_speed,sea_surface_water_tide_constituent-ms4__angular_speed,sea_surface_water_tide_constituent-ms4,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-ms4))
sea_surface_water_tide_constituent~ms4__period,sea_surface_water_tide_constituent-ms4__period,sea_surface_water_tide_constituent-ms4,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-ms4))
sea_surface_water_tide_constituent~ms4__phase_angle,sea_surface_water_tide_constituent-ms4__phase_angle,sea_surface_water_tide_constituent-ms4,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-ms4))
sea_surface_water_tide_constituent~msf__amplitude,sea_surface_water_tide_constituent-msf__amplitude,sea_surface_water_tide_constituent-msf,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-msf))
sea_surface_water_tide_constituent~msf__degrees-per-hour_speed,sea_surface_water_tide_constituent-msf__angular_speed,sea_surface_water_tide_constituent-msf,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-msf))
sea_surface_water_tide_constituent~msf__period,sea_surface_water_tide_constituent-msf__period,sea_surface_water_tide_constituent-msf,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-msf))
sea_surface_water_tide_constituent~msf__phase_angle,sea_surface_water_tide_constituent-msf__phase_angle,sea_surface_water_tide_constituent-msf,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-msf))
sea_surface_water_tide_constituent~mu2__amplitude,sea_surface_water_tide_constituent-mu2__amplitude,sea_surface_water_tide_constituent-mu2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mu2))
sea_surface_water_tide_constituent~mu2__degrees-per-hour_speed,sea_surface_water_tide_constituent-mu2__angular_speed,sea_surface_water_tide_constituent-mu2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mu2))
sea_surface_water_tide_constituent~mu2__period,sea_surface_water_tide_constituent-mu2__period,sea_surface_water_tide_constituent-mu2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mu2))
sea_surface_water_tide_constituent~mu2__phase_angle,sea_surface_water_tide_constituent-mu2__phase_angle,sea_surface_water_tide_constituent-mu2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-mu2))
sea_surface_water_tide_constituent~n2__amplitude,sea_surface_water_tide_constituent-n2__amplitude,sea_surface_water_tide_constituent-n2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-n2))
sea_surface_water_tide_constituent~n2__degrees-per-hour_speed,sea_surface_water_tide_constituent-n2__angular_speed,sea_surface_water_tide_constituent-n2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-n2))
sea_surface_water_tide_constituent~n2__period,sea_surface_water_tide_constituent-n2__period,sea_surface_water_tide_constituent-n2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-n2))
sea_surface_water_tide_constituent~n2__phase_angle,sea_surface_water_tide_constituent-n2__phase_angle,sea_surface_water_tide_constituent-n2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-n2))
sea_surface_water_tide_constituent~nu2__amplitude,sea_surface_water_tide_constituent-nu2__amplitude,sea_surface_water_tide_constituent-nu2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-nu2))
sea_surface_water_tide_constituent~nu2__degrees-per-hour_speed,sea_surface_water_tide_constituent-nu2__angular_speed,sea_surface_water_tide_constituent-nu2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-nu2))
sea_surface_water_tide_constituent~nu2__period,sea_surface_water_tide_constituent-nu2__period,sea_surface_water_tide_constituent-nu2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-nu2))
sea_surface_water_tide_constituent~nu2__phase_angle,sea_surface_water_tide_constituent-nu2__phase_angle,sea_surface_water_tide_constituent-nu2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-nu2))
sea_surface_water_tide_constituent~o1__amplitude,sea_surface_water_tide_constituent-o1__amplitude,sea_surface_water_tide_constituent-o1,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-o1))
sea_surface_water_tide_constituent~o1__degrees-per-hour_speed,sea_surface_water_tide_constituent-o1__angular_speed,sea_surface_water_tide_constituent-o1,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-o1))
sea_surface_water_tide_constituent~o1__period,sea_surface_water_tide_constituent-o1__period,sea_surface_water_tide_constituent-o1,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-o1))
sea_surface_water_tide_constituent~o1__phase_angle,sea_surface_water_tide_constituent-o1__phase_angle,sea_surface_water_tide_constituent-o1,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-o1))
sea_surface_water_tide_constituent~oo1__amplitude,sea_surface_water_tide_constituent-oo1__amplitude,sea_surface_water_tide_constituent-oo1,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-oo1))
sea_surface_water_tide_constituent~oo1__degrees-per-hour_speed,sea_surface_water_tide_constituent-oo1__angular_speed,sea_surface_water_tide_constituent-oo1,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-oo1))
sea_surface_water_tide_constituent~oo1__period,sea_surface_water_tide_constituent-oo1__period,sea_surface_water_tide_constituent-oo1,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-oo1))
sea_surface_water_tide_constituent~oo1__phase_angle,sea_surface_water_tide_constituent-oo1__phase_angle,sea_surface_water_tide_constituent-oo1,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-oo1))
sea_surface_water_tide_constituent~oo2__amplitude,sea_surface_water_tide_constituent-oo2__amplitude,sea_surface_water_tide_constituent-oo2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-oo2))
sea_surface_water_tide_constituent~oo2__degrees-per-hour_speed,sea_surface_water_tide_constituent-oo2__angular_speed,sea_surface_water_tide_constituent-oo2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-oo2))
sea_surface_water_tide_constituent~oo2__period,sea_surface_water_tide_constituent-oo2__period,sea_surface_water_tide_constituent-oo2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-oo2))
sea_surface_water_tide_constituent~oo2__phase_angle,sea_surface_water_tide_constituent-oo2__phase_angle,sea_surface_water_tide_constituent-oo2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-oo2))
sea_surface_water_tide_constituent~p1__amplitude,sea_surface_water_tide_constituent-p1__amplitude,sea_surface_water_tide_constituent-p1,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-p1))
sea_surface_water_tide_constituent~p1__degrees-per-hour_speed,sea_surface_water_tide_constituent-p1__angular_speed,sea_surface_water_tide_constituent-p1,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-p1))
sea_surface_water_tide_constituent~p1__period,sea_surface_water_tide_constituent-p1__period,sea_surface_water_tide_constituent-p1,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-p1))
sea_surface_water_tide_constituent~p1__phase_angle,sea_surface_water_tide_constituent-p1__phase_angle,sea_surface_water_tide_constituent-p1,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-p1))
sea_surface_water_tide_constituent~q1__amplitude,sea_surface_water_tide_constituent-q1__amplitude,sea_surface_water_tide_constituent-q1,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-q1))
sea_surface_water_tide_constituent~q1__degrees-per-hour_speed,sea_surface_water_tide_constituent-q1__angular_speed,sea_surface_water_tide_constituent-q1,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-q1))
sea_surface_water_tide_constituent~q1__period,sea_surface_water_tide_constituent-q1__period,sea_surface_water_tide_constituent-q1,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-q1))
sea_surface_water_tide_constituent~q1__phase_angle,sea_surface_water_tide_constituent-q1__phase_angle,sea_surface_water_tide_constituent-q1,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-q1))
sea_surface_water_tide_constituent~r2__amplitude,sea_surface_water_tide_constituent-r2__amplitude,sea_surface_water_tide_constituent-r2,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-r2))
sea_surface_water_tide_constituent~r2__degrees-per-hour_speed,sea_surface_water_tide_constituent-r2__angular_speed,sea_surface_water_tide_constituent-r2,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-r2))
sea_surface_water_tide_constituent~r2__period,sea_surface_water_tide_constituent-r2__period,sea_surface_water_tide_constituent-r2,period,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-r2))
sea_surface_water_tide_constituent~r2__phase_angle,sea_surface_water_tide_constituent-r2__phase_angle,sea_surface_water_tide_constituent-r2,phase_angle,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-r2))
sea_surface_water_tide_constituent~rho__amplitude,sea_surface_water_tide_constituent-rho__amplitude,sea_surface_water_tide_constituent-rho,amplitude,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-rho))
sea_surface_water_tide_constituent~rho__degrees-per-hour_speed,sea_surface_water_tide_constituent-rho__angular_speed,sea_surface_water_tide_constituent-rho,angular_speed,((sea-has-abstraction-surface)-contains-(water-makes-up-tide-has-part-constituent-rho))
